date,type,category,description,amount
2025-02-17,revenue,Service Revenue,Rev txn,3695.53
2025-01-17,revenue,Product Sales,Rev txn,1154.89
2025-12-13,revenue,Other Revenue,Rev txn,3215.16
2025-08-18,expense,Marketing & Advertising,Exp txn,1434.88
2025-08-03,expense,Salaries & Wages,Exp txn,1126.88
2025-10-07,revenue,Product Sales,Rev txn,173.8
2025-05-23,expense,Cost of Goods Sold (COGS),Exp txn,2769.78
2025-04-30,revenue,Subscription Income,Rev txn,7150.78
2025-12-26,expense,Marketing & Advertising,Exp txn,1208.02
2025-10-30,revenue,Online / Digital Sales,Rev txn,1411.4
