date,type,category,description,amount
2025-02-24,expense,Salaries & Wages,Exp txn,422.61
2025-02-19,expense,Marketing & Advertising,Exp txn,1034.3
2025-03-13,revenue,Other Revenue,Rev txn,3357.53
2025-01-07,expense,Rent / Office Space,Exp txn,1261.76
2025-06-09,revenue,Other Revenue,Rev txn,3336.08
2025-02-27,expense,Cost of Goods Sold (COGS),Exp txn,895.77
2025-05-10,expense,Other Expense,Exp txn,765.59
2025-02-17,revenue,Other Revenue,Rev txn,616.23
2025-06-29,revenue,Consulting / Retainers,Rev txn,1159.9
2025-06-07,expense,Rent / Office Space,Exp txn,1214.23
2025-11-12,expense,Software & Subscriptions,Exp txn,587.52
2025-06-02,revenue,Subscription Income,Rev txn,2791.91
2025-11-28,expense,Software & Subscriptions,Exp txn,1177.79
2025-08-04,revenue,Subscription Income,Rev txn,2087.98
2025-02-11,revenue,Service Revenue,Rev txn,4034.98
2025-08-21,revenue,Consulting / Retainers,Rev txn,3311.31
2025-03-18,revenue,Consulting / Retainers,Rev txn,1841.88
2025-03-20,expense,Salaries & Wages,Exp txn,1258.06
2025-05-27,expense,Cost of Goods Sold (COGS),Exp txn,1159.6
2025-10-14,expense,Software & Subscriptions,Exp txn,800.02
2025-06-16,revenue,Product Sales,Rev txn,3780.15
2025-12-14,revenue,Other Revenue,Rev txn,2847.87
2025-07-21,expense,Rent / Office Space,Exp txn,457.49
2025-12-04,expense,Software & Subscriptions,Exp txn,774.46
2025-12-20,revenue,Consulting / Retainers,Rev txn,1602.34
2025-12-22,revenue,Consulting / Retainers,Rev txn,123.05
2025-01-19,revenue,Service Revenue,Rev txn,2064.95
2025-08-09,revenue,Product Sales,Rev txn,4436.38
2025-06-24,revenue,Subscription Income,Rev txn,1277.13
2025-01-26,revenue,Other Revenue,Rev txn,1586.58
2025-08-02,revenue,Consulting / Retainers,Rev txn,4465.5
2025-08-24,expense,Marketing & Advertising,Exp txn,438.14
2025-04-28,revenue,Subscription Income,Rev txn,4591.48
2025-05-10,revenue,Consulting / Retainers,Rev txn,849.67
2025-12-01,expense,Rent / Office Space,Exp txn,780.1
2025-09-10,revenue,Online / Digital Sales,Rev txn,2356.33
2025-02-16,expense,Cost of Goods Sold (COGS),Exp txn,1171.57
2025-12-17,expense,Rent / Office Space,Exp txn,1373.13
2025-05-25,revenue,Other Revenue,Rev txn,3232.12
2025-01-09,expense,Marketing & Advertising,Exp txn,327.8
2025-03-06,revenue,Consulting / Retainers,Rev txn,3161.77
2025-06-18,expense,Salaries & Wages,Exp txn,586.45
2025-11-13,expense,Rent / Office Space,Exp txn,1658.3
2025-12-18,revenue,Product Sales,Rev txn,4363.05
2025-03-31,expense,Marketing & Advertising,Exp txn,1840.07
2025-09-21,expense,Rent / Office Space,Exp txn,1978.35
2025-03-02,expense,Other Expense,Exp txn,259.09
2025-08-18,expense,Software & Subscriptions,Exp txn,506.73
2025-03-17,revenue,Subscription Income,Rev txn,4379.83
2025-06-30,revenue,Product Sales,Rev txn,666.9
2025-12-26,revenue,Product Sales,Rev txn,1343.02
2025-05-01,expense,Cost of Goods Sold (COGS),Exp txn,1790.33
2025-02-18,expense,Marketing & Advertising,Exp txn,807.16
2025-11-02,revenue,Online / Digital Sales,Rev txn,4544.73
2025-06-30,revenue,Service Revenue,Rev txn,246.72
2025-07-12,expense,Rent / Office Space,Exp txn,1120.59
2025-07-30,expense,Cost of Goods Sold (COGS),Exp txn,1731.96
2025-09-13,revenue,Other Revenue,Rev txn,3052.64
2025-06-21,revenue,Product Sales,Rev txn,4404.22
2025-01-25,revenue,Service Revenue,Rev txn,2801.17
2025-05-01,revenue,Consulting / Retainers,Rev txn,4728.0
2025-01-15,revenue,Product Sales,Rev txn,511.65
2025-10-11,revenue,Product Sales,Rev txn,4983.33
2025-08-12,revenue,Product Sales,Rev txn,2277.85
2025-08-09,revenue,Product Sales,Rev txn,4391.34
2025-09-24,expense,Software & Subscriptions,Exp txn,1295.34
2025-02-10,expense,Marketing & Advertising,Exp txn,1005.16
2025-10-15,revenue,Consulting / Retainers,Rev txn,1025.32
2025-11-19,revenue,Other Revenue,Rev txn,1808.59
2025-01-17,expense,Salaries & Wages,Exp txn,1978.29
2025-05-05,revenue,Online / Digital Sales,Rev txn,3771.3
2025-09-06,revenue,Product Sales,Rev txn,439.85
2025-01-24,revenue,Service Revenue,Rev txn,780.48
2025-11-14,revenue,Other Revenue,Rev txn,4636.26
2025-01-14,revenue,Subscription Income,Rev txn,2867.07
2025-12-25,expense,Cost of Goods Sold (COGS),Exp txn,1361.33
2025-11-02,revenue,Product Sales,Rev txn,512.27
2025-03-31,expense,Other Expense,Exp txn,1227.78
2025-06-23,revenue,Service Revenue,Rev txn,2448.76
2025-04-08,expense,Cost of Goods Sold (COGS),Exp txn,314.5
2025-02-07,expense,Cost of Goods Sold (COGS),Exp txn,1420.39
2025-09-09,expense,Salaries & Wages,Exp txn,1230.01
2025-11-21,revenue,Subscription Income,Rev txn,1788.17
2025-01-21,revenue,Service Revenue,Rev txn,2979.87
2025-07-09,revenue,Service Revenue,Rev txn,2826.49
2025-08-25,revenue,Online / Digital Sales,Rev txn,3014.78
2025-01-15,revenue,Other Revenue,Rev txn,3672.94
2025-06-24,expense,Marketing & Advertising,Exp txn,952.75
2025-03-08,revenue,Online / Digital Sales,Rev txn,2349.52
2025-11-16,revenue,Other Revenue,Rev txn,3654.66
2025-07-12,expense,Salaries & Wages,Exp txn,1945.04
2025-02-13,revenue,Product Sales,Rev txn,2623.61
2025-04-12,revenue,Service Revenue,Rev txn,806.39
2025-06-16,revenue,Online / Digital Sales,Rev txn,3413.61
2025-08-24,revenue,Consulting / Retainers,Rev txn,3927.64
2025-11-05,revenue,Service Revenue,Rev txn,1109.07
2025-03-01,expense,Other Expense,Exp txn,159.33
2025-07-10,revenue,Consulting / Retainers,Rev txn,949.56
2025-08-01,expense,Other Expense,Exp txn,649.21
2025-05-04,revenue,Online / Digital Sales,Rev txn,3936.39
2025-09-26,expense,Software & Subscriptions,Exp txn,934.6
2025-04-28,expense,Salaries & Wages,Exp txn,254.05
2025-09-09,revenue,Product Sales,Rev txn,3624.36
2025-02-16,revenue,Service Revenue,Rev txn,4715.03
2025-05-11,revenue,Consulting / Retainers,Rev txn,3903.18
2025-11-11,expense,Cost of Goods Sold (COGS),Exp txn,1367.04
2025-04-10,revenue,Consulting / Retainers,Rev txn,1712.45
